Time,Characteristic,n,Total ,Mujeres ,Hombres ,p-valor,Mujeres_norm,Hombres_norm
12/16/2020,Desconocida,,306,157,146,,,
12/22/2020,Desconocida,,341,177,160,,,
12/29/2020,Desconocida,,319,167,148,,,
8/6/2020,Desconocido,,12662,6307,5720,"<0,001",,
8/13/2020,Desconocido,,18233,8948,9281,"<0,001",,
8/20/2020,Desconocido,,25891,12585,13298,"<0,001",,
9/9/2020,Desconocido,,62804,30872,31912,"<0,001",,
9/16/2020,Desconocido,,79065,39069,39960,"<0,001",,
9/23/2020,Desconocido,,98512,49104,49371,,,
9/30/2020,Desconocido,,117242,58662,58560,"<0,001",,
10/7/2020,Desconocido,,134821,67625,67177,"<0,001",,
10/14/2020,Desconocido,,155877,78548,77313,"<0,001",,
10/21/2020,Desconocido,,185352,93643,91694,"<0,001",,
10/28/2020,Desconocido,,220013,111725,108267,"<0,001",,
11/6/2020,Desconocido,,273838,139847,133969,"<0,001",,
11/12/2020,Desconocido,,309605,158472,151088,"<0,001",,
8/6/2020,Detección de antígeno,,0,0,,"<0,001",,
8/13/2020,Detección de antígeno,,0,0,0,"<0,001",,
8/20/2020,Detección de antígeno,,0,0,0,,,
9/9/2020,Detección de antígeno,,0,0,0,,,
9/16/2020,Detección de antígeno,,0,0,0,,,
9/23/2020,Detección de antígeno,,0,0,0,0,,
9/30/2020,Detección de antígeno,,113,68,45,,,
10/7/2020,Detección de antígeno,,5654,3003,2648,,,
10/14/2020,Detección de antígeno,,14836,7781,7053,,,
10/21/2020,Detección de antígeno,,29078,15154,13906,,,
10/28/2020,Detección de antígeno,,47560,24752,22644,,,
11/6/2020,Detección de antígeno,,76880,40036,36608,,,
11/12/2020,Detección de antígeno,,98170,51027,46882,,,
11/18/2020,Detección de antígeno,,123650,64431,58944,,,
11/25/2020,Detección de antígeno,,140169,73005,66908,,,
12/2/2020,Detección de antígeno,,154904,80682,74031,,,
12/9/2020,Detección de antígeno,,164994,85885,78947,,,
12/16/2020,Detección de antígeno,,181757,94574,87069,,,
12/22/2020,Detección de antígeno,,195746,101691,93971,,,
12/29/2020,Detección de antígeno,,212296,110266,101939,,,
3/2/2020,Diabetes,,3,2,1,,,
3/9/2020,Diabetes,,7,4,3,,,
3/16/2020,Diabetes,,0,0,0,,,
3/25/2020,Diabetes,,1712,1104,608,"<0,001",,
4/1/2020,Diabetes,,2362,943,1417,"<0,001",,
4/6/2020,Diabetes,,7396,2835,4560,"<0,001",,
4/16/2020,Diabetes,70587,11369,4652,6715,"<0,001",,
4/27/2020,Diabetes,110062,17838,7828,10010,"<0,001",,
5/4/2020,Diabetes,118490,19077,8519,10558,"<0,001",,
5/11/2020,Diabetes,135835,21425,9806,11619,"<0,001",,
5/14/2020,Diabetes,138044,21717,9904,11667,"<0,001",,
5/21/2020,Diabetes,149307,24163,11094,12923,"<0,001",,
5/29/2020,Diabetes,,24222,11120,12956,"<0,001",,
3/2/2020,Diarrea,,3,2,1,,,
3/9/2020,Diarrea,,5,3,2,,,
3/16/2020,Diarrea,,40,20,20,,,
3/25/2020,Diarrea,,320,150,170,"0,137",,
4/1/2020,Diarrea,,1500,803,694,"0,007",,
4/6/2020,Diarrea,,2278,1244,1032,"<0,001",,
4/16/2020,Diarrea,9557,2877,1582,1294,"<0,001",,
4/27/2020,Diarrea,18001,5487,3125,2362,"<0,001",,
5/4/2020,Diarrea,19323,5718,3268,2450,"<0,001",,
5/11/2020,Diarrea,33772,8000,4658,3341,"<0,001",,
5/14/2020,Diarrea,34496,8303,4835,3467,"<0,001",,
5/21/2020,Diarrea,39684,10546,6202,4343,"<0,001",,
5/29/2020,Diarrea,,10678,6284,4393,"<0,001",,
3/2/2020,Disnea,,6,3,3,,,
3/9/2020,Disnea,,27,14,13,,,
3/16/2020,Disnea,,76,40,36,,,
3/25/2020,Disnea,,694,390,304,"0,002",,
4/1/2020,Disnea,,2734,1272,1457,"<0,001",,
4/6/2020,Disnea,,5460,2485,2973,"<0,001",,
4/16/2020,Disnea,13506,6439,2967,3470,"<0,001",,
4/27/2020,Disnea,58260,30961,14930,16029,"<0,001",,
5/4/2020,Disnea,62184,32571,15816,16755,"<0,001",,
5/11/2020,Disnea,81174,38085,18768,19315,"<0,001",,
5/14/2020,Disnea,81859,38330,18915,19413,"<0,001",,
5/21/2020,Disnea,87578,41533,20606,20925,"<0,001",,
5/29/2020,Disnea,,41727,20708,21017,"<0,001",,
3/2/2020,Dolor de garganta,,6,,,,,
3/9/2020,Dolor de garganta,,33,,,,,
3/16/2020,Dolor de garganta,,91,,,,,
3/25/2020,Dolor de garganta,,451,198,253,"0,002",,
4/1/2020,Dolor de garganta,,1368,793,569,"<0,001",,
4/6/2020,Dolor de garganta,,1925,1135,785,"<0,001",,
4/16/2020,Dolor de garganta,9218,2397,1444,948,"<0,001",,
4/27/2020,Dolor de garganta,17194,4482,2768,1712,"<0,001",,
5/4/2020,Dolor de garganta,18495,4693,2914,1779,"<0,001",,
5/11/2020,Dolor de garganta,32960,6583,4201,2380,"<0,001",,
5/14/2020,Dolor de garganta,33699,6891,4392,2497,"<0,001",,
5/21/2020,Dolor de garganta,38193,8312,5313,2997,"<0,001",,
5/29/2020,Dolor de garganta,,8430,5401,3028,"<0,001",,
8/6/2020,Domicilio,,11378,5972,4192,"<0,001",,
8/13/2020,Domicilio,,15863,8628,7235,"<0,001",,
8/20/2020,Domicilio,,25781,13877,11902,,,
9/9/2020,Domicilio,,50616,27372,23238,,,
9/16/2020,Domicilio,,65277,35196,30072,,,
9/23/2020,Domicilio,,87326,46964,40348,,,
9/30/2020,Domicilio,,100335,53973,46352,,,
10/7/2020,Domicilio,,114520,61469,53045,,,
10/14/2020,Domicilio,,129610,69519,60082,,,
10/21/2020,Domicilio,,150325,80533,69782,,,
10/28/2020,Domicilio,,172257,92227,80016,,,
11/6/2020,Domicilio,,201245,107465,93767,,,
11/12/2020,Domicilio,,222035,118467,103539,,,
11/18/2020,Domicilio,,249861,133498,116318,,,
11/25/2020,Domicilio,,271350,144916,126380,,,
12/2/2020,Domicilio,,289551,154598,134934,,,
12/9/2020,Domicilio,,303167,161759,141387,,,
12/16/2020,Domicilio,,321555,171439,150094,,,
12/22/2020,Domicilio,,337486,179786,157675,,,
12/29/2020,Domicilio,,355414,189314,166071,,,
3/25/2020,Edad. Mediana (RIC),,58,61,56,"<0,001",,
4/1/2020,Edad. Mediana (RIC),,59 (45-74),57 (43-73),62 (47-75),"<0,001",,
4/6/2020,Edad. Mediana (RIC),,59 (46-74),57 (43-73),62 (48-75),"<0,001",,
4/16/2020,Edad. Mediana (RIC),122027,60 (46-75),58 (44-75),62 (48-76),"<0,001",,
4/27/2020,Edad. Mediana (RIC),198426,61 (46-78),59 (44-79),62 (49-77),"<0,001",,
5/4/2020,Edad. Mediana (RIC),210124,60 (46-78),59 (44-80),62 (48-77),"<0,001",,
5/11/2020,Edad. Mediana (RIC),229897,60 (46-78),59 (44-80),62 (48-77),"<0,001",,
5/14/2020,Edad. Mediana (RIC),233546,60 (46-78),59 (44-80),62 (48-77),"<0,001",,
5/21/2020,Edad. Mediana (RIC)2,247169,60 (46-79),59 (44-81),62 (48-77),"<0,001",,
5/29/2020,Edad. Mediana (RIC)2,,60 (46-79),59 (44-81),62 (48-77),"<0,001",,
8/6/2020,ELISA,,1455,1006,448,"<0,001",,
8/13/2020,ELISA,,1456,1010,444,"<0,001",,
8/20/2020,ELISA,,1453,1004,448,"<0,001",,
9/9/2020,ELISA,,1576,1079,495,"<0,001",,
9/16/2020,ELISA,,1597,1093,502,"<0,001",,
9/23/2020,ELISA,,1635,1114,519,,,
9/30/2020,ELISA,,1676,1138,536,"<0,001",,
10/7/2020,ELISA,,1706,1158,546,"<0,001",,
10/14/2020,ELISA,,1733,1171,562,"<0,001",,
10/21/2020,ELISA,,1786,1202,584,"<0,001",,
10/28/2020,ELISA,,2006,1340,666,"<0,001",,
11/6/2020,ELISA,,2057,1371,686,"<0,001",,
11/12/2020,ELISA,,2163,1427,736,"<0,001",,
11/18/2020,ELISA,,2572,1678,894,"<0,001",,
11/25/2020,ELISA,,2646,1719,927,"<0,001",,
12/2/2020,ELISA,,2730,1760,970,"<0,001",,
12/9/2020,ELISA,,2773,1785,988,"<0,001",,
12/16/2020,ELISA,,2846,1830,1016,"<0,001",,
12/22/2020,ELISA,,2899,1858,1041,"<0,001",,
12/29/2020,ELISA,,2932,1880,1052,"<0,001",,
3/2/2020,Enfermedad cardiovascular,,4,,,,,
3/9/2020,Enfermedad cardiovascular,,8,,,,,
3/16/2020,Enfermedad cardiovascular,,31,,,,,
3/25/2020,Enfermedad cardiovascular,,4236,2532,1704,"<0,001",,
4/1/2020,Enfermedad cardiovascular,,4329,1762,2562,"<0,001",,
4/6/2020,Enfermedad cardiovascular,,11918,4784,7130,"<0,001",,
4/16/2020,Enfermedad cardiovascular,70587,22793,9783,13007,"<0,001",,
4/27/2020,Enfermedad cardiovascular,110062,33140,14964,18174,"<0,001",,
5/4/2020,Enfermedad cardiovascular,118490,35190,16065,19125,"<0,001",,
5/11/2020,Enfermedad cardiovascular,135835,38704,18086,20613,"<0,001",,
5/14/2020,Enfermedad cardiovascular,138044,39201,18272,20706,"<0,001",,
5/21/2020,Enfermedad cardiovascular,149307,43278,20251,22804,"<0,001",,
5/29/2020,Enfermedad cardiovascular,,43420,20309,22889,"<0,001",,
3/2/2020,Enfermedad de base y factores de riesgo,,,,,,,
3/9/2020,Enfermedad de base y factores de riesgo,,,,,,,
3/16/2020,Enfermedad de base y factores de riesgo,,,,,,,
3/9/2020,Enfermedad hepática,,1,,,,,
3/16/2020,Enfermedad hepática,,0,,,,,
3/25/2020,Enfermedad hepática,,39,22,17,"0,558",,
3/9/2020,Enfermedad neuromuscular,,2,,,,,
3/16/2020,Enfermedad neuromuscular,,0,,,,,
3/25/2020,Enfermedad neuromuscular,,48,27,21,"0,092",,
3/2/2020,Enfermedad respiratoria,,0,,,,,
3/9/2020,Enfermedad respiratoria,,4,,,,,
3/16/2020,Enfermedad respiratoria,,12,,,,,
3/25/2020,Enfermedad respiratoria,,1485,901,584,"<0,001",,
4/1/2020,Enfermedad respiratoria,,1294,470,822,"<0,001",,
4/6/2020,Enfermedad respiratoria,,4861,1839,3021,"<0,001",,
4/16/2020,Enfermedad respiratoria,70587,6745,2635,4108,"<0,001",,
4/27/2020,Enfermedad respiratoria,110062,11566,4717,6848,"<0,001",,
5/4/2020,Enfermedad respiratoria,118490,12362,5094,7268,"<0,001",,
5/11/2020,Enfermedad respiratoria,135835,13973,5891,8081,"<0,001",,
5/14/2020,Enfermedad respiratoria,138044,14674,6197,8304,"<0,001",,
5/21/2020,Enfermedad respiratoria,149307,16399,6957,9269,"<0,001",,
5/29/2020,Enfermedad respiratoria,,16454,6981,9300,"<0,001",,
3/25/2020,Enfermedades y factores de riesgo,,6210,3568,2642,,,
4/1/2020,Enfermedades y factores de riesgo,,20090,9036,11045,"<0,001",,
4/6/2020,Enfermedades y factores de riesgo,,,,,"<0,001",,
4/16/2020,Enfermedades y factores de riesgo,,,,,"<0,001",,
4/27/2020,Enfermedades y factores de riesgo,,,,,,,
5/4/2020,Enfermedades y factores de riesgo,,,,,,,
5/11/2020,Enfermedades y factores de riesgo,,,,,,,
5/14/2020,Enfermedades y factores de riesgo,,,,,,,
5/21/2020,Enfermedades y factores de riesgo,,,,,,,
5/29/2020,Enfermedades y factores de riesgo¹,,,,,,,
3/2/2020,Escalofrios,,6,,,,,
3/9/2020,Escalofrios,,18,,,,,
3/16/2020,Escalofrios,,80,,,,,
3/25/2020,Escalofrios,,533,283,250,"0,178",,
4/1/2020,Escalofrios,,1582,754,824,"0,029",,
4/6/2020,Escalofrios,,2243,1110,1130,"0,222",,
4/16/2020,Escalofrios,8024,2721,1367,1351,"<0,001",,
4/27/2020,Escalofrios,16934,5612,3003,2606,"0,216",,
5/4/2020,Escalofrios,18219,5772,3097,2675,"<0,001",,
5/11/2020,Escalofrios,32684,6713,3599,3112,"<0,001",,
5/14/2020,Escalofrios,33431,7066,3805,3259,"<0,001",,
5/21/2020,Escalofrios,37908,8737,4788,3947,"<0,001",,
5/29/2020,Escalofrios,,8843,4855,3987,"<0,001",,
8/6/2020,Escolar,,101,45,56,"<0,001",,
8/13/2020,Escolar,,128,60,68,"<0,001",,
8/20/2020,Escolar,,172,88,84,,,
9/9/2020,Escolar,,260,131,129,,,
9/16/2020,Escolar,,383,190,192,,,
9/23/2020,Escolar,,1041,522,518,,,
9/30/2020,Escolar,,1771,920,851,,,
10/7/2020,Escolar,,2819,1462,1357,,,
10/14/2020,Escolar,,4075,2116,1959,,,
10/21/2020,Escolar,,5751,2961,2790,,,
10/28/2020,Escolar,,7521,3845,3675,,,
11/6/2020,Escolar,,9563,4863,4700,,,
11/12/2020,Escolar,,11025,5603,5421,,,
11/18/2020,Escolar,,13100,6673,6424,,,
11/25/2020,Escolar,,14763,7563,7197,,,
12/2/2020,Escolar,,15946,8174,7772,,,
12/9/2020,Escolar,,16865,8639,8226,,,
12/16/2020,Escolar,,17832,9151,8681,,,
12/22/2020,Escolar,,18706,9609,9097,,,
12/29/2020,Escolar,,19675,10152,9523,,,
3/2/2020,Fallo renal agudo,,0,,,,,
3/9/2020,Fallo renal agudo,,2,,,,,
3/16/2020,Fallo renal agudo,,6,,,,,
3/25/2020,Fallo renal agudo,,21,16,5,"0,584",,
3/25/2020,Fallo renal agudo,,105,72,33,"<0,001",,
4/1/2020,Fallo renal agudo,,646,224,422,"<0,001",,
4/6/2020,Fallo renal agudo,,1102,378,724,"<0,001",,
4/16/2020,Fallo renal agudo,41939,1993,675,1317,"<0,001",,
4/27/2020,Fallo renal agudo,65235,3184,1159,2025,"<0,001",,
5/4/2020,Fallo renal agudo,69880,3614,1349,2265,"<0,001",,
5/11/2020,Fallo renal agudo,80271,4170,1577,2593,"<0,001",,
5/14/2020,Fallo renal agudo,81633,4212,1597,2615,"<0,001",,
5/21/2020,Fallo renal agudo,85735,4479,1710,2769,"<0,001",,
5/29/2020,Fallo renal agudo,,4515,1725,2790,"<0,001",,
3/2/2020,Fiebre ,,28,,,,,
3/9/2020,Fiebre ,,76,,,,,
3/16/2020,Fiebre ,,238,,,,,
3/25/2020,Fiebre ,,1503,817,686,"<0,001",,
4/1/2020,Fiebre ,,4911,2265,2639,"<0,001",,
4/6/2020,Fiebre ,,6785,3189,3589,"<0,001",,
4/16/2020,Fiebre ,11073,8112,3840,4267,"<0,001",,
4/27/2020,Fiebre ,62433,47161,22878,24281,"<0,001",,
5/4/2020,Fiebre ,66608,49640,24252,25388,"<0,001",,
5/11/2020,Fiebre ,92979,67236,33448,33779,"<0,001",,
5/14/2020,Fiebre ,93850,67856,33781,34066,"<0,001",,
5/21/2020,Fiebre ,101179,73691,36936,36746,"<0,001",,
5/29/2020,Fiebre ,,74057,37099,36949,"<0,001",,
3/2/2020,Grupo de edad (años),,,,,,,
3/9/2020,Grupo de edad (años),,,,,,,
3/16/2020,Grupo de edad (años),,,,,,,
3/25/2020,Grupo de edad (años),,,,,,,
4/1/2020,Grupo de edad (años),,,,,"<0,001",,
4/6/2020,Grupo de edad (años),,,,,"<0,001",,
4/16/2020,Grupo de edad (años),122027,,,,"<0,001",,
4/27/2020,Grupo de edad (años),198426,,,,"<0,001",,
5/4/2020,Grupo de edad (años),,,,,,,
5/11/2020,Grupo de edad (años),,,,,,,
5/14/2020,Grupo de edad (años),,,,,,,
5/21/2020,Grupo de edad (años),,,,,,,
5/29/2020,Grupo de edad (años),,,,,,,
8/6/2020,Grupo de edad (años),,,,,"<0,001",,
8/13/2020,Grupo de edad (años),,,,,"<0,001",,
8/20/2020,Grupo de edad (años),,,,,,,
9/9/2020,Grupo de edad (años),,,,,,,
9/16/2020,Grupo de edad (años),,,,,,,
9/23/2020,Grupo de edad (años),,,,,,,
9/30/2020,Grupo de edad (años),,,,,,,
10/7/2020,Grupo de edad (años),,,,,,,
10/14/2020,Grupo de edad (años),,,,,,,
10/21/2020,Grupo de edad (años),,,,,,,
10/28/2020,Grupo de edad (años),,,,,,,
11/6/2020,Grupo de edad (años),,,,,,,
11/12/2020,Grupo de edad (años),,,,,,,
11/18/2020,Grupo de edad (años),,,,,,,
11/25/2020,Grupo de edad (años),,,,,,,
12/2/2020,Grupo de edad (años),,,,,,,
12/9/2020,Grupo de edad (años),,,,,,,
12/16/2020,Grupo de edad (años),,,,,,,
12/22/2020,Grupo de edad (años),,,,,,,
12/29/2020,Grupo de edad (años),,,,,,,
4/1/2020,Hipertension arterial,,500,238,262,"0,577",,
4/6/2020,Hipertension arterial,,2047,940,1107,"0,009",,
4/16/2020,Hipertension arterial,70587,9938,4759,5179,"<0,001",,
4/27/2020,Hipertension arterial,110062,20750,10796,9954,"<0,001",,
5/4/2020,Hipertension arterial,118490,23377,12358,11019,"<0,001",,
5/11/2020,Hipertension arterial,135835,27137,14676,12461,"<0,001",,
5/14/2020,Hipertension arterial,138044,29113,15612,13107,"<0,001",,
5/21/2020,Hipertension arterial,149307,31761,17154,14213,"0,037",,
5/29/2020,Hipertension arterial,,31800,17176,14230,"0,035",,
3/25/2020,Hipertensión arterial,,69,32,37,"0,958",,
4/1/2020,Hospitalizacion,,23102,9443,13647,"<0,001",,
4/6/2020,Hospitalizacion,,39743,16406,23327,"<0,001",,
4/27/2020,Hospitalizacion,170914,79697,34419,45271,"<0,001",,
5/4/2020,Hospitalizacion,182568,83905,36640,47265,"<0,001",,
5/11/2020,Hospitalizacion,201645,88707,39019,49612,"<0,001",,
5/14/2020,Hospitalizacion,206497,89504,39363,49976,"<0,001",,
5/21/2020,Hospitalizacion,239628,92087,40570,51352,"<0,001",,
5/29/2020,Hospitalizacion,,92113,40585,51363,"<0,001",,
8/6/2020,Importado,,1011,394,604,"<0,001",,
8/13/2020,Importado,,1268,499,765,"<0,001",,
8/20/2020,Importado,,1325,531,791,"<0,001",,
9/9/2020,Importado,,1739,705,1030,"<0,001",,
9/16/2020,Importado,,1977,823,1149,"<0,001",,
9/23/2020,Importado,,2321,985,1332,,,
9/30/2020,Importado,,2540,1084,1454,"<0,001",,
10/7/2020,Importado,,2636,1133,1501,"<0,001",,
10/14/2020,Importado,,2838,1227,1610,"<0,001",,
10/21/2020,Importado,,3225,1404,1820,"<0,001",,
10/28/2020,Importado,,3868,1558,2308,"<0,001",,
11/6/2020,Importado,,4169,1697,2470,"<0,001",,
11/12/2020,Importado,,4317,1751,2565,"<0,001",,
11/18/2020,Importado,,4349,1755,2593,"<0,001",,
11/25/2020,Importado,,4022,1559,2461,"<0,001",,
12/2/2020,Importado,,4102,1586,2514,"<0,001",,
12/9/2020,Importado,,4216,1635,2579,"<0,001",,
12/16/2020,Importado,,4327,1673,2652,"<0,001",,
12/22/2020,Importado,,4390,1700,2685,"<0,001",,
12/29/2020,Importado,,4540,1762,2774,"<0,001",,
3/9/2020,Inmunodepresión,,2,,,,,
3/16/2020,Inmunodepresión,,5,,,,,
3/25/2020,Inmunodepresión,,23,16,7,"<0,001",,
8/6/2020,Laboral,,3886,1811,1772,"<0,001",,
8/13/2020,Laboral,,5024,2327,2695,"<0,001",,
8/20/2020,Laboral,,7010,3271,3737,,,
9/9/2020,Laboral,,12448,5958,6486,,,
9/16/2020,Laboral,,15096,7260,7832,,,
9/23/2020,Laboral,,18824,9336,9484,,,
9/30/2020,Laboral,,21555,10792,10758,,,
10/7/2020,Laboral,,23776,11922,11847,,,
10/14/2020,Laboral,,26108,13117,12982,,,
10/21/2020,Laboral,,29196,14701,14482,,,
10/28/2020,Laboral,,33019,16680,16317,,,
11/6/2020,Laboral,,37815,19206,18578,,,
11/12/2020,Laboral,,41344,20995,20297,,,
11/18/2020,Laboral,,46283,23577,22641,,,
11/25/2020,Laboral,,49784,25344,24370,,,
12/2/2020,Laboral,,52639,26789,25794,,,
12/9/2020,Laboral,,54749,27818,26875,,,
12/16/2020,Laboral,,57497,29267,28174,,,
12/22/2020,Laboral,,59905,30502,29343,,,
12/29/2020,Laboral,,62651,31884,30703,,,
8/6/2020,Mediana de edad (rango),,38,39,38,"<0,001",,
8/13/2020,Mediana de edad (rango),,38,39,37,"<0,001",,
8/20/2020,Mediana de edad (rango),,38,38,37,"<0,001",,
9/9/2020,Mediana de edad (rango),,38,39,37,"<0,001",,
9/16/2020,Mediana de edad (rango),,38,39,38,"<0,001",,
9/23/2020,Mediana de edad (rango),,39,39,38,,,
9/30/2020,Mediana de edad (rango),,39,39,38,"<0,001",,
10/7/2020,Mediana de edad (rango),,39,39,38,"<0,001",,
10/14/2020,Mediana de edad (rango),,39,40,39,"<0,001",,
10/21/2020,Mediana de edad (rango),,39,40,39,"<0,001",,
10/28/2020,Mediana de edad (rango),,40,40,39,"<0,001",,
11/6/2020,Mediana de edad (rango),,40 (24-56),41 (24-56),40 (23-55),"<0,001",,
11/12/2020,Mediana de edad (rango),,40,41,40,"<0,001",,
11/18/2020,Mediana de edad (rango),,41 (24-56),41 (25-57),40 (23-55),"<0,001",,
11/25/2020,Mediana de edad (rango),,41 (24-56),42 (25-57),40 (23-56),"<0,001",,
12/2/2020,Mediana de edad (rango),,41 (24-57),42 (25-57),40 (23-56),"<0,001",,
12/9/2020,Mediana de edad (rango),,41 (24-57),42 (25-57),40 (23-56),"<0,001",,
12/16/2020,Mediana de edad (rango),,41 (24-57),42 (25-57),40 (23-56),"<0,001",,
12/22/2020,Mediana de edad (rango),,41 (24-57),42 (25-57),41 (23-56),"<0,001",,
12/29/2020,Mediana de edad (rango),,41 (24-57),42 (25-58),41 (23-56),"<0,001",,
3/2/2020,Mediana de edad (RIC),,41,,,,,
3/9/2020,Mediana de edad (RIC),,47,,,,,
3/16/2020,Mediana de edad (RIC),,51,,,,,
3/2/2020,Neumonia ,,5,,,,,
3/9/2020,Neumonia ,,19,,,,,
3/16/2020,Neumonia ,,62,,,,,
3/25/2020,Neumonia ,,3653,2210,1443,"<0,001",,
4/1/2020,Neumonia ,,14575,5869,8700,"<0,001",,
4/6/2020,Neumonia ,,25090,10233,14856,"<0,001",,
4/16/2020,Neumonia ,65867,39179,16294,22880,"<0,001",,
4/27/2020,Neumonia ,94932,52903,22746,30154,"<0,001",,
5/4/2020,Neumonia ,102547,56365,24413,31952,"<0,001",,
5/11/2020,Neumonia ,117506,63805,27731,36071,"<0,001",,
5/14/2020,Neumonia ,119044,64172,27914,36255,"<0,001",,
5/21/2020,Neumonia ,124671,67120,29246,37871,"<0,001",,
5/29/2020,Neumonia ,,67293,29317,37973,"<0,001",,
8/6/2020,Número de contactos estrechos identificados,,3,3,3,"<0,001",,
8/13/2020,Número de contactos estrechos identificados,,3,3,3,"<0,001",,
8/20/2020,Número de contactos estrechos identificados,,3,3,3,"<0,001",,
9/9/2020,Número de contactos estrechos identificados,,3(1-5),3(1-5),3,"0,204",,
9/16/2020,Número de contactos estrechos identificados,,3(1-5),3,3,"0,584",,
9/23/2020,Número de contactos estrechos identificados,,3,3,3,,,
9/30/2020,Número de contactos estrechos identificados,,3,3,3,"0,310",,
10/7/2020,Número de contactos estrechos identificados,,3,3,3,"0,123",,
10/14/2020,Número de contactos estrechos identificados,,3,3,3,"0,187",,
10/21/2020,Número de contactos estrechos identificados,,3,3,3,"0,157",,
10/28/2020,Número de contactos estrechos identificados,,2,3,2,"0,006",,
11/6/2020,Número de contactos estrechos identificados,,2,2,2,"<0,001",,
11/12/2020,Número de contactos estrechos identificados,,2,2,2,"<0,001",,
11/18/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
11/25/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
12/2/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
12/9/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
12/16/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
12/22/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
12/29/2020,Número de contactos estrechos identificados*,,2(1-4),2(1-4),2,"<0,001",,
3/2/2020,Otra,,1,,,,,
3/9/2020,Otra,,7,,,,,
3/16/2020,Otra,,26,,,,,
3/25/2020,Otra,,1331,737,594,"0,346",,
8/6/2020,Otros,,6269,2910,2685,"<0,001",,
8/13/2020,Otros,,8629,4154,4472,"<0,001",,
8/20/2020,Otros,,12998,6262,6735,,,
9/9/2020,Otros,,24776,12009,12760,,,
9/16/2020,Otros,,30464,14932,15524,,,
9/23/2020,Otros,,37165,18313,18843,,,
9/30/2020,Otros,,41863,20782,21077,,,
10/7/2020,Otros,,45829,22831,22995,,,
10/14/2020,Otros,,50371,25134,25234,,,
10/21/2020,Otros,,57056,28615,28437,,,
10/28/2020,Otros,,64654,32498,32149,,,
11/6/2020,Otros,,73709,37152,36547,,,
11/12/2020,Otros,,79112,39921,39177,,,
11/18/2020,Otros,,86599,43830,42749,,,
11/25/2020,Otros,,91465,46339,45104,,,
12/2/2020,Otros,,95949,48670,47272,,,
12/9/2020,Otros,,99206,50384,48815,,,
12/16/2020,Otros,,103782,52749,51026,,,
12/22/2020,Otros,,108115,54917,53188,,,
12/29/2020,Otros,,111120,56459,54649,,,
8/6/2020,Otros centros,,272,181,73,"<0,001",,
8/13/2020,Otros centros,,380,271,109,"<0,001",,
8/20/2020,Otros centros,,429,296,133,"<0,001",,
9/9/2020,Otros centros,,815,569,246,"<0,001",,
9/16/2020,Otros centros,,975,683,292,"<0,001",,
9/23/2020,Otros centros,,1160,803,357,,,
9/30/2020,Otros centros,,1311,919,392,"<0,001",,
10/7/2020,Otros centros,,1498,1052,446,"<0,001",,
10/14/2020,Otros centros,,1745,1222,523,"<0,001",,
10/21/2020,Otros centros,,1950,1357,593,"<0,001",,
10/28/2020,Otros centros,,2279,1577,702,"<0,001",,
11/6/2020,Otros centros,,2707,1888,819,"<0,001",,
11/12/2020,Otros centros,,2932,2058,874,"<0,001",,
11/18/2020,Otros centros,,3401,2416,984,"<0,001",,
11/25/2020,Otros centros,,3689,2629,1053,"<0,001",,
12/2/2020,Otros centros,,3925,2812,1108,"<0,001",,
12/9/2020,Otros centros,,4097,2936,1156,"<0,001",,
12/16/2020,Otros centros,,4103,2931,1167,"<0,001",,
12/22/2020,Otros centros,,3793,2681,1107,"<0,001",,
12/29/2020,Otros centros,,3998,2836,1157,"<0,001",,
3/2/2020,Otros síntomas,,3,,,,,
3/9/2020,Otros síntomas,,29,,,,,
3/16/2020,Otros síntomas,,104,,,,,
3/2/2020,Otros sintomas resp.,,0,,,,,
3/9/2020,Otros sintomas resp.,,1,,,,,
3/16/2020,Otros sintomas resp.,,3,,,,,
3/25/2020,Otros síntomas resp.,,616,346,270,"0,036",,
4/1/2020,Otros síntomas resp.,,3332,1476,1856,"<0,001",,
4/6/2020,Otros síntomas resp.,,4904,2197,2707,"<0,001",,
4/16/2020,Otros síntomas resp.,37827,5829,2562,3265,"<0,001",,
4/27/2020,Otros síntomas resp.,55352,8436,3812,4624,"<0,001",,
5/4/2020,Otros síntomas resp.,59576,8336,3741,4595,"<0,001",,
5/11/2020,Otros síntomas resp.,67652,6352,2703,3649,"<0,001",,
5/14/2020,Otros síntomas resp.,69032,6411,2728,3683,"<0,001",,
5/21/2020,Otros síntomas resp.,69594,6417,2721,3696,"<0,001",,
5/29/2020,Otros síntomas resp.,,6407,2699,3708,"<0,001",,
8/6/2020,PCR/Técnicas moleculares,,73641,35741,30494,"<0,001",,
8/13/2020,PCR/Técnicas moleculares,,95590,48305,45424,"<0,001",,
8/20/2020,PCR/Técnicas moleculares,,139924,71434,68195,,,
9/9/2020,PCR/Técnicas moleculares,,300232,153968,146064,,,
